Tracker,Game_Date,Home_Team,Away_Team,Quarter,Game_Clock,Shot_Clock,Home_Strength,Away_Strength,Team,Event_Type,State,Player1,Location1_x,Location1_y,Net_Location,Shot_Angle,Result,Empty_Net,Goalie_Response,Shot_Type,Primary_Assist,Secondary_Assist,Rebound_Type,Rebound,Shot_Blocker,FO_Home,FO_Away,FO_Result,FO_Winning_Team,Turnover_Type,Home_Goalie,Away_Goalie,Min,Sec,Time_Stamp,Game,Season,Player1_Name,Primary_Assist_Name,Secondary_Assist_Name,FO_Home_Name,FO_Away_Name,Home_Goalie_Name,Away_Goalie_Name,Rebound_Team,Rebound_Name,Shot_Blocking_Team,Shot_Blocker_Name,Competition
Eddy,4/21/24,Ireland,Finland,1,13:07,28,5,4,Ireland,Shot,Transition,24,0.868423621,0.579523359,Right Shoulder,158.2304696,Miss,No,Not Clean,Assisted,27,NA,Offensive,79,NA,NA,NA,NA,NA,NA,0,44,13,7,113,4-21 Finland vs Ireland,2023,P. Corbett,B. Gillis,NA,NA,NA,J. McMillan,L. Uusitalo,Ireland,J. Harrington,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,13:25,18,5,5,Ireland,Shot,Set,27,0.897239318,0.390908032,Left Shoulder,217.3403649,Miss,No,Not Clean,Movement,NA,NA,Defensive,8,NA,NA,NA,NA,NA,NA,0,44,13,25,95,4-21 Finland vs Ireland,2023,B. Gillis,NA,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,S. Koskinen,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,14:10,16,5,5,Ireland,Shot,Set,87,0.892319565,0.58235968,Top Miss,164.7258603,Miss,No,Not On Net,Assisted,27,NA,Defensive,4,NA,NA,NA,NA,NA,NA,0,44,14,10,50,4-21 Finland vs Ireland,2023,B. O'Sullivan,B. Gillis,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,T. Tilkanen,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,14:48,26,5,5,Ireland,Turnover,Set,76,0.787599105,0.614977368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stray Pass,0,44,14,48,12,4-21 Finland vs Ireland,2023,L. Coppinger,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,14:58,21,5,5,Finland,Turnover,Transition,16,0.514201397,0.10018516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ball Lost,0,44,14,58,2,4-21 Finland vs Ireland,2023,R. Tenho,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,15:43,18,4,5,Finland,Shot,Set,5,0.240803688,0.510033502,Left Leg,211.1473952,Miss,No,Not Clean,Assisted,15,19,Offensive,15,NA,NA,NA,NA,NA,NA,0,44,15,43,-43,4-21 Finland vs Ireland,2023,R. Jokela,Ju. Aaltonen,Ja. Aaltonen,NA,NA,J. McMillan,L. Uusitalo,Finland,Ju. Aaltonen,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,15:56,19,4,5,Finland,Shot,Set,19,0.211285169,0.566759916,5-Hole,284.4465746,Miss,No,Not Clean,Assisted,5,NA,Defensive,7,NA,NA,NA,NA,NA,NA,0,44,15,56,-56,4-21 Finland vs Ireland,2023,Ja. Aaltonen,R. Jokela,NA,NA,NA,J. McMillan,L. Uusitalo,Ireland,N. D'Amico,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,16:19,10,4,5,Ireland,Shot,Set,27,0.832579705,0.351199543,Right Leg,278.1973964,Miss,No,Not Clean,Movement,NA,NA,Defensive,16,NA,NA,NA,NA,NA,NA,0,44,16,19,-79,4-21 Finland vs Ireland,2023,B. Gillis,NA,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,R. Tenho,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,16:47,8,4,5,Finland,Shot,Set,19,0.159979172,0.727012036,Left Miss,281.0842147,Miss,No,Not On Net,Assisted,5,NA,None,NA,NA,NA,NA,NA,NA,NA,0,44,16,47,-107,4-21 Finland vs Ireland,2023,Ja. Aaltonen,R. Jokela,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,17:23,6,5,5,Ireland,Shot,Set,27,0.884588524,0.603632085,Right Shoulder,203.0798833,Miss,No,Not Clean,Assisted,77,NA,Offensive,79,NA,NA,NA,NA,NA,NA,0,44,17,23,-143,4-21 Finland vs Ireland,2023,B. Gillis,C. Kelly,NA,NA,NA,J. McMillan,L. Uusitalo,Ireland,J. Harrington,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,17:44,11,6,5,Ireland,Shot,Set,27,0.81571198,0.529887747,Right Leg,289.1294666,Miss,No,Not Clean,Assisted,24,NA,Offensive,86,NA,NA,NA,NA,NA,NA,0,44,17,44,-164,4-21 Finland vs Ireland,2023,B. Gillis,P. Corbett,NA,NA,NA,J. McMillan,L. Uusitalo,Ireland,L. Moloney,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,17:59,24,6,5,Ireland,Shot,Set,79,0.869126443,0.294473128,5-Hole,315.4495975,Miss,No,Clean Save,Assisted,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,17,59,-179,4-21 Finland vs Ireland,2023,J. Harrington,P. Corbett,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,18:28,21,5,4,Ireland,Shot,Set,24,0.812197871,0.552578313,Left Miss,158.0472065,Miss,No,Not On Net,Assisted,79,27,Defensive,4,NA,NA,NA,NA,NA,NA,0,44,18,28,-208,4-21 Finland vs Ireland,2023,P. Corbett,J. Harrington,B. Gillis,NA,NA,J. McMillan,L. Uusitalo,Finland,T. Tilkanen,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,18:38,23,5,4,Finland,Turnover,Transition,8,0.745429793,-5.04E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Concession,0,44,18,38,-218,4-21 Finland vs Ireland,2023,S. Koskinen,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,19:04,12,5,4,Ireland,Shot,Set,24,0.810792227,0.515706144,NA,70.38445058,Blocked,No,NA,Assisted,27,NA,Offensive,24,4,NA,NA,NA,NA,NA,0,44,19,4,-244,4-21 Finland vs Ireland,2023,P. Corbett,B. Gillis,NA,NA,NA,J. McMillan,L. Uusitalo,Ireland,P. Corbett,Finland,T. Tilkanen,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,19:10,6,5,4,Ireland,Shot,Set,79,0.840310746,0.348363222,Right Leg,216.4052272,Miss,No,Not Clean,Assisted,87,NA,Defensive,44,NA,NA,NA,NA,NA,NA,0,44,19,10,-250,4-21 Finland vs Ireland,2023,J. Harrington,B. O'Sullivan,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,L. Uusitalo,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,19:15,26,5,4,Finland,Turnover,Set,44,0.930974768,0.407925957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stray Pass,0,44,19,15,-255,4-21 Finland vs Ireland,2023,L. Uusitalo,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,19:44,10,5,4,Ireland,Shot,Set,27,0.870532087,0.344108741,Left Shoulder,207.998673,Miss,No,Not Clean,Assisted,24,87,Defensive,11,NA,NA,NA,NA,NA,NA,0,44,19,44,-284,4-21 Finland vs Ireland,2023,B. Gillis,P. Corbett,B. O'Sullivan,NA,NA,J. McMillan,L. Uusitalo,Finland,H. Haarala,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,20:23,27,5,5,Ireland,Shot,Transition,70,0.855070005,0.271782563,Right Leg,283.3431907,Miss,No,Not Clean,Movement,NA,NA,Offensive,70,NA,NA,NA,NA,NA,NA,0,44,20,23,-323,4-21 Finland vs Ireland,2023,C. Costello,NA,NA,NA,NA,J. McMillan,L. Uusitalo,Ireland,C. Costello,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,20:34,16,5,5,Ireland,Turnover,Transition,24,0.816414802,0.566759916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrupted Pass,0,44,20,34,-334,4-21 Finland vs Ireland,2023,P. Corbett,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
